Tweet,Publication Date
"One Eye is our partnership w/ @NASA. It uses 🛰️ &amp; drones to collect real time data which enables us to help &amp; reduce risks by addressing drought before it becomes a famine. See all the ways we're harnessing #Tech2030 for #SDGs 👉 https://t.co/VjKA3rUqc7
#WBGMeetings #WBG4SDGs https://t.co/xAkcCbvvA0",Thu Apr 11 17:00:01 +0000 2019
"Governments are looking for solutions to poverty &amp; rising inequality. Our #MultidimensionalPovertyIndex examines the root causes where govts, public sector &amp; biz could create sustainable impact for people, planet &amp; economies. #Partnership2030 https://t.co/eyfQVXMPlL",Thu Apr 11 16:48:55 +0000 2019
"79% of citizens in Latin American countries believe that their country is governed in the interest of a few powerful groups according to the most recent @Latinobarometro survey. @LFLopezCalva's latest #GraphForThought explores ⏬ legitimacy &amp; governance   
https://t.co/eggHzxtRiw https://t.co/3eki6geVIk",Thu Apr 11 15:28:11 +0000 2019
"RT @WorldBank: Live from our 2019 Spring Meetings Global Voices interview series set, @UNDP  Administrator @ASteiner will be discussing the…",Thu Apr 11 15:04:51 +0000 2019
"More babies are born in India than in any other country in the world. To keep them healthy &amp; fully vaccinated, @gavi &amp; @UNDP_India are working with the govt of 🇮🇳 India on #eVin, a tech-based network. #Health4All https://t.co/2gznlLcgTT",Thu Apr 11 10:57:54 +0000 2019
"On the @UN International Day of #HumanSpaceFlight, test your #FirstWoman in space knowledge &amp; meet some #WomeninTech who are working for health, education, equality, &amp; human rights around the world: https://t.co/dolil9iDGK https://t.co/rasz6WDt2V",Thu Apr 11 03:00:00 +0000 2019
"Know of a school, business, public organization, or govt offering youth policies which are truly making a difference in the lives of young people? Nominate them to our #FuturePolicyAward w/ @Good_Policies, @IPUparliament, @ILO, &amp; more: https://t.co/Q4RJhkg2gO #FPA2019 #Youth2030 https://t.co/FimS40H5jQ",Thu Apr 11 00:00:00 +0000 2019
"The world's 1st tech ambassador is from #Denmark.
The world's 1st public innovation lab was borne in 🇩🇰.
As the world's leading nation in public innovation, 🇩🇰 is a 💪donor to our #inno4dev work &amp; is the 4th largest donor to our regular resource: https://t.co/aFgCMUA1sp 
#DKAid https://t.co/JMlg1Sdygp",Wed Apr 10 21:34:48 +0000 2019
"Flood survivors accounted for ~57% of the 62M ppl affected by extreme weather in 2018, according to @WMO's #StateofClimate. Building w/ risks in mind can save lives &amp; economies. @UNDPLaoPDR explains its risk reduction work in Lao PDR. #WRC4 #GP2019Geneva
https://t.co/4ko1VCFvJM",Wed Apr 10 21:00:14 +0000 2019
"📣 Calling all peacebuilding🕊️ youth-led organizations, networks, &amp; movements to enter our 16x16 initiative, supported by Italy🇮🇹!

Enter by 19 April. Finalists will represent #SDG16 priorities at upcoming #Youth4Peace high level events 👉 https://t.co/zd2lrFwWeO   
#Youth2030 https://t.co/S4dkbuQfUa",Wed Apr 10 19:01:58 +0000 2019
RT @UN: Rights and choices are still out of reach for too many women. Learn more about this #UnfinishedBusiness in the new @UNFPA populatio…,Wed Apr 10 18:31:53 +0000 2019
"Inequality is widening &amp; #MiddleClass households are feeling the squeeze. At 3:00PM, our @UlrikaModeer &amp; @PNUDPLAC's @LFLopezCalva will join @OECD's @A_Gurria to launch their latest report “Under Pressure: The Squeezed Middle Class”. Tune in live: https://t.co/QuLm3bXmKg https://t.co/pClW5aoR27",Wed Apr 10 17:53:57 +0000 2019
"If women had the same lifetime earnings as men, global wealth could ⬆️ by $160 Tn in 141 countries. That's an avg. ⬆️ of $23,620/ person. @WorldBank explains how they're tackling inequality thru #SDGsAndHer w/ us, @UN_Women, &amp; @Wharton. #WBGMeetings 
https://t.co/PMAO0sXz8i",Wed Apr 10 16:10:15 +0000 2019
"To store vaccines during ⚡outages, some health clinics use diesel generators for ⚡. 2 yrs ago, we teamed up w/ the @GlobalFund to offer #Solar4Health. Today, 200 clinics in Zimbabwe alone run on #cleanenergy 🌞that saves 💰&amp; the 🌍.  More in @CC_Yale.
https://t.co/WfU2EX71JU",Wed Apr 10 13:27:24 +0000 2019
RT @ASteiner: Almost 100 mil ppl pushed into #poverty each year due to out-of-pocket spending on health. #Health4All w/@UNDP @WorldBank @UN…,Wed Apr 10 13:05:37 +0000 2019
"RT @UNDP4Youth: 📢 Call for applications: '16 x 16' initiative❗️
@UNDP4Youth will recognize and support 16 youth-led organisations, movement…",Wed Apr 10 10:24:32 +0000 2019
RT @UNDPasiapac: #TB is one of the top 4 causes of death in Indonesia. Rising populations in cities raise #healthsecurity risks for AMR-res…,Wed Apr 10 07:19:31 +0000 2019
The Fijian drua was the largest &amp; most innovative seafaring vessel in Oceania's history. These youth build &amp; sail traditional boats w/ @UtoNiYalo &amp; @UNDP_Pacific to #SaveOurOcean: https://t.co/BtVjESkJoX #Youth2030 https://t.co/omYKTyqQJt,Wed Apr 10 03:00:00 +0000 2019
"""I meet people who I believe will change our country someday."" In #Mauritania, youth enter our youth centers to learn #jobskils,  leadership skills, &amp; positive foundations for their future during the most formative years of their lives: 
https://t.co/3O0vTJu07R
#Youth2030",Wed Apr 10 00:00:12 +0000 2019
Have a question for our @UN Development Chief @ASteiner? Ask LIVE during @WorldBank’s Spring Meetings 2019 Global Voices Interview Series. https://t.co/rJfJPQft6Y #WBGMeetings https://t.co/IID31BhLcM,Tue Apr 09 23:04:28 +0000 2019
"135 social impact bonds are already helping 28 countries achieve #SDGimpact. We're exploring the feasibility of #SIBs to reduce #wildlifecrime &amp; help farmers tap into #AgriTech for more sustainable &amp; environmentally-friendly #agribiz choices. #NextGenUNDP
https://t.co/78sucFTTjX",Tue Apr 09 20:27:18 +0000 2019
"13 million people in Bangladesh may lose their homes &amp; farms to the rising tide &amp; extreme weather conditions by 2050. These communities are planting a green belt to protect coastal towns from floods. #Youth2030 #Youth4Peace
https://t.co/sz8GPxi5md",Tue Apr 09 18:30:11 +0000 2019
"RT @WorldBank: Do you think youth have a role to play in dev't? If so, what is it? Now is your chance to ask @WorldBank’s CEO @KGeorgieva a…",Tue Apr 09 17:53:16 +0000 2019
"After visiting #Rwanda, our Goodwill Ambassador @nikolajcw took a shorter trip - to @TheEllenShow. See Nikolaj talking to Ellen about his experience in Rwanda &amp; @LionsShareFund, and don't miss his 30-sec explainer of #GOT https://t.co/QFOi50j0q4 @UNDP_Rwanda",Tue Apr 09 16:50:12 +0000 2019
"A Hands of Peace intern is completing 2 yrs of volunteer service in every part of Colombia. Whether they offer #AgriTech skills or #STEM classes to rural students, they're helping communities rebuild after decades of conflict. #Youth4Peace #Youth2030 https://t.co/h9ESz1uTd0",Tue Apr 09 16:01:18 +0000 2019
"In 2014, floods devoured whole valleys in SE Europe after back-to-back cyclones. After the water receded, our data found a dramatic ⏫ in women’s unpaid work &amp; a 🔺 in violence against women in Serbia. Here's how climatechange affects #WomensRights. #WRC4
https://t.co/1qUp1ouzC8",Tue Apr 09 16:01:14 +0000 2019
"New #Fin4Dev @UNDESA report spotlights the biggest opportunities such as #FinTech &amp; the most vulnerable risks for the world's financial systems and governments in the age of #DigitalTransformation. 
https://t.co/Ve86g4Plfc",Tue Apr 09 15:30:13 +0000 2019
"Over 9 million immunizations are carried out annually in India. Behind the world's largest universal immunization program is #eVIN, a smart tracking technology developed by @UNDP_India &amp; @gavi: https://t.co/vd886Fz1Cb  #Youth2030 #Health4All https://t.co/Tj2mEeBXdD",Tue Apr 09 14:25:03 +0000 2019
"This school is the 1st symbol of stability for children of displaced families in Sri Lanka. Funded by @EuropeAid, our #BuildPeace project offers school gardens where both students &amp; parents can learn about nutrition &amp; farming: https://t.co/C9QYEZU9v1 #Youth2030 #Youth4Peace https://t.co/trUsP1CEcM",Tue Apr 09 12:00:41 +0000 2019
"Can this pioneering📱app end victim-blaming &amp; violence against women &amp; girls in #Myanmar? These two young developers hope their app will help girls &amp; women survivors of rape, sexual assault, &amp; trafficking in Myanmar. https://t.co/ddIkgaVqnw 
#Youth4Peace #Youth2030 https://t.co/QIP553TwI7",Tue Apr 09 10:00:00 +0000 2019
"Young people from the poorest neighborhoods in Mauritania enter this youth center without hope for the future. They leave as leaders, with confidence they're part of the generation to build a more peaceful nation. #Youth2030 #Youth4Peace https://t.co/PqC7v4h83z",Tue Apr 09 08:00:23 +0000 2019
"Demand continues to grow for tech workers,  but women are often locked out of the jobs in tech. Nino is breaking down women's barriers to quality jobs. This @Google @WomenTechmakers leader trains #WomeninTech to close the #gendergap in Georgia. #Youth2030
https://t.co/ontitE5xVM",Tue Apr 09 06:00:17 +0000 2019
How can new sources of data from #satelliteimagery &amp; tech be used to visualize global inequalitiesin #HumanDevelopment? Submit your best original #dataviz by 4 June. Winners will be announced at #EDD19 on 18 June: https://t.co/T5QF5kFybA https://t.co/OgTcJjcH3w,Tue Apr 09 00:00:17 +0000 2019
"RT @Denmark_UN: Thank you Administrator! 

Our longstanding partnership with @UNDP remains central in our efforts to ensure no one is left…",Mon Apr 08 22:14:43 +0000 2019
"Since joining Afghanistan's police force, Gulafrooz has been bringing positive changes in people's lives by educating women &amp; girls of their legal rights to justice. She how she champions @undpaf's commitment to peace &amp; equality:
https://t.co/KcLcnRBD8c 
#Youth2030 #Youth4Peace https://t.co/J60wuR0ixR",Mon Apr 08 22:00:00 +0000 2019
"Our @undp Goodwill Ambassador @nikolajcw recently visited Rwanda, which has the most women in parliament worldwide. 
Non-biodegradable plastic bags have been banned in 🇷🇼 since 2008.
Watch full interview w/ @cnbcafrica's Power Lunch: https://t.co/FXoLPo2msu https://t.co/nlTt4oB69j",Mon Apr 08 21:34:42 +0000 2019
"“Education should never stop because of war and conflict, just like we never stop aging every year.” Eva &amp; other young women formed #GoGirls which provides #STEM education to girls &amp; boys in South Sudan: https://t.co/aPC4z7cZb9 #Youth2030 #Youth4Peace https://t.co/XTo8iJciUd",Mon Apr 08 20:30:01 +0000 2019
"""Many people don't understand the laws we have so they don't know what rights they have as citizens."" These #WomeninTech developed a legal literacy chatbot📱🤖supported by @YouthColab &amp; @Citi to help citizens understand laws in the Philippines 🇵🇭. #Youth4Peace #Youth2030 https://t.co/zajwYEBm5X",Mon Apr 08 20:00:01 +0000 2019
"We have 1.8 billion reasons to keep the avg. global 🌡️, to #BeatPollution, &amp; save nature. 
Every #ClimateAction we take will determine the future of young people.
Join @ASteiner now for our #Youth4Climate talk at #Youth2030 now: https://t.co/lXeGZR1JbI

🎥credit: @PNUDPeru https://t.co/SDaU4Sw5Sl",Mon Apr 08 20:00:01 +0000 2019
